1	INTJ PREP DET NMP NMS AUX PROPN XFAMIL PREP NMS PREP PREP CHIF CHIF NFP PREP DETFS NFS	bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	<eps> à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures <eps> <eps> <eps>	_
4836	ADV ADV PPER1S VERB DET NMS PREP PPOBJMS VERB ADV COSUB	bien alors je continue mon exemple pour y revenir parce que	<eps> alors je continue mon exemple il pourrait revenir parce que	_
4837	PRON PREL VERB NMS PRON PREL VERB PROPN DETMS NMS ADV NMS <eps> <eps> ADJMS AUX ADV ADV PRON PREL VERB ADV DETFS NFS	ce que dit monsieur ce que dit bruno le maire actuellement ministre <eps> <eps> c' est pas exactement ce que dit globalement la droite	ce que dit monsieur ce que dit bruno le maire actuellement n' y est c' est pas exactement ce que dit globalement la droite	_
4838	DETFS NFS VERB PDEMMS AUX DETMS NMS DINTMS NMS ADJMS AUX DETMS NMS ADV	la droite dit c' est le prix du travail c' est le prix bien	vendredi <eps> <eps> c' est le prix du travail c' est le <eps> bien	_
4839	PPER1S ADV VERB <eps> ADV ADV <eps> PREP VERB DETFS NFS DET NFP PREL PPER3MS PPOBJMS VERB DET NFP PREL VERB PREP DETMS NMS PREL ADV VERB ADV VERB PREP PPOBJMS	je ne nie <eps> pas aujourd'hui <eps> pour faire la part des choses qu' il y a des charges qui pèsent sur le travail qui ne devraient pas peser sur lui	je ne me dit pas aujourd' hui pour faire la part des choses qu' il y a des charges qui pèsent sur le travail qui ne devrait pas peser sur lui	_
4840	NMS	exemple	<unk>	_
4841	PROPN VERB DET NFP ADJFP ADV DINTMS NMS PDEMMS ADV VERB PPER3MS PPOBJMS VERB DET NFP	exa() exemple les allocations familiales alors un exemple ça ne dure il y a des charges	<eps> exemple les allocations familiales voilà un exemple ça dont <eps> il y a des charges	_
4842	DETMS NFP ADJFP ADV PREFP VERB VERB PREP VERB DET NFP ADJFP DET NMP ADJMP DETMS NMS PPER3MP VERB PREFP VERB DET NMS ADJ ADV PREP PREFP VERB PREP NFS DET NFS PINDMS VERB ADV DET NFP PREL PDEMMS AUX VPPFP COCO PREP DET PROPN	le charges sociales autrement vous savez arriver à enlever les charges sociales les états unis le font ils disent vous avez votre salaire messieurs puis après vous prenez en charge votre santé on voit bien les difficultés que ça a créées mais pour l' allemagne	charge sociale <eps> autrement c' était arrivé <eps> enlever les charges sociales des etats-unis <eps> le font et disent vous avez votre salaire messieurs puis après vous prenez en charge votre santé on voit bien les difficultés que ça a créé mais pour l' allemagne	_
4843	PDEMFS NFS VERB AUX ADV PREP NMS DINTMS NMS ADV COSUB PINDMS VERB PDEMMS AUX DINTMS NMS ADJMS AUX CHIF NMP COCO ADJMS PREP NMP PREL VERB CHIF NMP PREP DET NFS	cette dérèglementation c' est quoi au bout du compte parce qu' on dit c' est un exemple c' est deux millions et demi de salariés qui gagnent cinq euros de l' heure	cette déréglementation c' est quoi au bout du compte parce qu' on <eps> <eps> est un exemple ces <eps> deux millions ennemi salarié <eps> <eps> qui gagne cinq euros de l' heure	_
4844	CHIF NMP PREP DET NFS COCO ADV AUX ADV PREP NMS	cinq euros de l' heure et c' est pas de smic	cayrol <eps> <eps> <eps> <eps> et c' est pas le smic	_
4845	ADV PDEMFS <eps> NFS PREP VERB ADV PDEMMS AUX DETMS NMS DINTMS NMS ADJMS AUX PDEMFS <eps> <eps> NFS AUX ADV DETFS ADJFS NFS ADV COSUB DETFS ADJFS NFS <eps> <eps> <eps> PDEMMS VERB VERB COSUB PINDMS VERB ADV <eps> DET NMP ADJ	donc cette <eps> logique de dire uniquement c' est le coût du travail c' est cette <eps> <eps> c' est pas la bonne réponse parce que la bonne réponse <eps> <eps> <eps> ça veut dire qu' on va moyenner <eps> les produits français	donc c' est logique de dire uniquement c' est <eps> <eps> du travail c' est c' est cet c' est pas la bonne réponse parce que la bonne réponse c' est bon ça veut dire qu' on va moyen et les produits français	_
4846	COSUB PINDMS VERB VERB DET NMP PREP DETMS NMS ADV DETMS NMS PREP DETFS NFS	qu' on va créer des chocs sur le revenu donc le président de la république	<eps> on va créer des chocs sur le revenu donc le président <eps> la république	_
4847	PREL VERB ADV PREP DINTMS ADJMS NMS AUX VPPMS VERB DETFS <eps> DET NMP VERB PREFP <eps> DET NFP	qui d' abord dans un premier temps a dit rétablissons la <eps> les comptes redonnons nous <eps> des marges	est d' abord dans un premier temps a dit rétabli sont là les comptes redoux non ou des marges	_
4848	PREP VERB PREP CHIF PREP CHIF DINTMS NMS COCO NMS AUX ADJMS AUX ADJ <eps> PREP DINTMS NMS ADJMS COCO VPPMS	en revenant à trois pour cent du déficit et c' est c' est douloureux <eps> avec un effort partagé et ciblé	en revenant à trois pour cent de déficit et c' est c' est tout heureux avec un effort partagé et ciblée	_
4849	VPPMS ADV PPER1S PPER1S VERB PPER1S VERB DET NFP PREP DET NFS COCO NMS AUX ADJFS	dit maintenant ok je mets je remets les pendules à l' heure et c' est nécessaire	qui maintenant ok je mais je remet les pendules à l' heure <eps> c' est nécessaire	_
4850	PPER3MS PPOBJMS VERB PREP DET NFS COCO PREP DETMS ADJMS NMS PPER1S VERB ADV COSUB PPER3MS PPOBJMS VERB DINTFS NFS PREP DETFS NFS COCO PREP PRON VERB PREP PRON VERB PPER3MS AUX VPPMS NMS ADJ <eps>	il y va de notre indépendance mais dans le même temps je pense aussi qu' il y a une demande sur la compétitivité et pour ce faire pour ce faire il a nommé monsieur gallois <eps>	il <eps> va de notre indépendance mais dans le même temps je pense aussi qu' il y a une demande sur la compétitivité efforce de <eps> faire pour ce faire il a nommé monsieur gallois dont	_
4851	ADV PROPN XFAMIL PREL AUX ADV ADV ADJMS PREL ADV <eps> <eps> ADJMS NMS PREP PROPN PREP <eps> DETFS PROPN COCO PPER3MS PPOBJMS VERB PRON AUX	alors louis ga(llois) qui est pas n' importe qui (n) <eps> <eps> ancien patron d' eads de <eps> la sncf (n) il y a ce serait	pour ma part qui <eps> pas n' importe qui voilà bien un ancien patron <eps> <eps> de adsl la sncf <eps> <eps> <eps> <eps> ce serait	_
4852	ADJ PREP VERB COSUB PPER3MS ADV VERB ADV DET NFS ADJFS DET NMS AUX ADV VPPMS	malheureux de dire qu' il ne connaît pas l' industrie française son rapport est très attendu	malheureux de guerre qui <eps> ne connaît pas l' industrie française son rapport est très attendu	_
4853	COCO PREP ADV DETMS ADV DET NMS DINTMS NMS AUX ADV VPPMS <eps> DET NFP PREP NMS PREL VERB PREP NMS PREP VERB	mais par ailleurs le ne notre confrère du monde a déjà donné <eps> des pistes de travail que serait en train d' explorer	mais par ailleurs le ne notre confrère du monde a déjà des données des pistes de travail que serait en train d' explorer	_
4854	DET PROPN ADV DINTFS NFS ADJFS DET NFP ADJFP PINDMS VERB PREP CHIF PREP CHIF NMP PREP NMP ADJMS AUX ADJMS	l' élysée donc une baisse massive des charges patronales on parle de trente à cinquante milliards d' euros c' est considérable	l' elysée donc une baisse massive des charges patronales on parle de trente à cinquante milliards d' euros c' est considérable	_
4855	VPPMP <eps> PREP DETMS NMS VPPMP <eps> <eps> PREP <eps> <eps> <eps> DETMS NMS COCO PREL VERB PREP NFS DET NMP VERB PREP <eps>	étalés <eps> sur le quinquennat étalés <eps> <eps> sur <eps> <eps> <eps> le quinquennat et qui toucheraient en priorité les salaires allant de <eps>	a lire sur les cinq nina quarante milliards sur sa étalé sur le quinquennat et qui toucheraient en priorité les salaires l' an deux	_
4856	CHIF CHIF CHIF NMP PREP CHIF CHIF CHIF CHIF NMP ADJFS NFS PREP NMS	deux mille trois cents à trois mille deux cents euros bonne piste de travail	<eps> mille trois cents à trois milles deux cents euros pistes <eps> de travail	_
4857	ADJFS NFS PREP NMS ADJMS PREP NMS ADJFS	mauvaise piste de travail piste de travail incomplète	mauvais auspices de travail puissent de travailler incomplète	_
4858	PROPN AUX DINTFS NFS	c' est une piste	<eps> est une piste	_
4859	PPER3FS PREFS VERB ADJFS VERB COSUB NMS ADJ VERB <eps> <eps>	elle me paraît judicieuse attendons que monsieur gallois remette <eps> <eps>	<eps> me paraît judicieuse attendant <eps> monsieur gallois remet son rapport	_
4860	PREP PRON COSUB DETFS NFS PREP DETMS NMS YPFOR	après ce que la question sur le constat (n)	après <eps> que la question sur le constat hein	_
4861	PINDMS AUX PINDMP	on est tous	<eps> est tout	_
4862	PINDMS AUX PREP NMS PREP DETMS NMS DETFS NFS	on est d' accord sur le constat la compététivité	<eps> est d' accord sur le constat la compétitivité	_
4863	ADJMS DETMS NMS PREP PREFP ADV <eps> VERB PREP DET NMP	tout le problème entre nous aujourd'hui <eps> donne sur les remèdes	<eps> le problème entre nous aujourd' hui donne sur les remèdes	_
4864	NMS <eps> ADV PPER1S PPOBJMS AUX VPPMS PINDMS PREP DET NFS DET NFP	remède <eps> ici j' en ai entendu tout à l' heure quelques propositions	promet d' ici j' en ai entendu tout à l' heure quelques propositions	_
4865	PPER3MS VERB VERB DET CHIF DET CHIF NMP PINDMS VERB VERB CHIF NMP PREP CHIF NMP	il faudra trouver ces dix ces quarante milliards on va dire quarante milliards sur cinq ans	il faudra trouver six dix six quarante milliards on va dire quarante milliards sur cinq ans	_
4866	COCO AUX PRON PREL PINDMS PPOBJMS VERB ADV VERB ADV PREP NFP PPER1S AUX VPPMS PRON PREL VERB DET NMP PRON PREL VERB DET NMP ADJMP	ou est ce qu' on les trouve j' entends beaucoup de propositions j' ai entendu ce que disent certains ministres ce que disent certains responsables politiques	<eps> est ce qu' on les trouve j' entends beaucoup <eps> propositions j' ai entendu ce que disent certains ministres ce que disent certains responsables politiques	_
4867	PROPN <eps> ADV PROPN XFAMIL XFAMIL ADV ADJFS NFS COCO ADV NFS ADJFS COCO ADV NMS <eps>	csg <eps> pas csg tfv tva pas tva banque ou pas banque immobilier ou pas immobilier <eps>	j' ai pas siégé tv tv rebâtir un banc coupable que <eps> immobilier ou pas immobile oui	_
4868	PPER1S VERB PREP SYM VERB DINTFS ADJFS PPOBJFS PPER1S VERB COSUB PREP PDEMFS NFS PPER3MS PPOBJMS VERB VERB AUX DINTFS NFS ADJFS	je vais en p() donner une autre moi je pense que pour cette ressource il y a peut être une chose importante	v on peut <eps> donner une autre <eps> je pense que pour cette ressource il y a peut être une chose importante	_
4869	PDEMMS AUX PREP NMS DETFS NFS ADJFS PREL AUX ADJFS PREP DET NMS ADJFS NFS <eps> <eps> ADJFS NFS PPER1S AUX PREP PDEMMP PREL VERB COCO PPER1S VERB COSUB PINDMS VERB ADV COCO DINTFS NFS ADV DINTFS NFS	c' est d' abord la fiscalité écologique qui est balbutiante dans notre pays première chose <eps> <eps> deuxième piste je suis de ceux qui crois mais je pense qu' on pourrait non mais une taxe deuxièmement une taxe	c' est d' abord la fiscalité écologique qui est balbutiante dans notre pays première chose donc une deuxième piste je suis je suis de droite pensent <eps> <eps> qu' opel écologique non mais tacna troisièmement <eps> une taxe	_
4870	VERB AUX DINTFS NFS PREL AUX ADV DINTFS NFS ADJFS PREP DET NMS DINTFS NFS PREP DET ADJ NMP PREP DET NMP PREP PROPN	peut être une taxe qui serait aussi une taxe écologique en tout cas une taxe sur les bas coûts sur les produits hors europe	peut-être <eps> une taxe qui serait aussi une taxe écologique en tout cas une taxe sur les bakou <eps> sur les produits hors europe	_
4871	ADV COSUB PREFP VERB COSUB PPER3MS PPOBJMS VERB ADV DET NMP PREP <eps> PROPN DINTFS NFS ADJFS	parce que vous savez qu' il y a aujourd'hui des produits hors <eps> europe une empreinte carbone	parce que vous savez qu' il y a aujourd' hui il produit en europe une empreinte carbone	_
4872	PPER1S VERB ADV COSUB PPER1S VERB VERB PREP DETMS NMS PREP PROPN	je vois aujourd'hui quand je vois arriver dans le lycée de bourgogne	voit aujourd' hui quand je vois arriver dans les lycées de bourgogne	_
4873	DET NMP <eps> PREL VERB PREP PROPN ADV COSUB PPER3MP AUX ADV ADJMP VERB DETFS NFS ADJFS PREP NFS ADV PPER1S VERB COSUB DET PROPN PDEMMS AUX PREP DET PROPN PREP VERB PDEMMS PREP PREFP VERB PREP NMS PPER3MP VERB VERB DET NFP PREP DET PROPN	des oignons <eps> qui arrivent de chine parce qu' ils sont moins chers imaginez la taxe carbone l' empreinte donc je crois que l' europe c' est à l' europe de saisir ça pour nous aider en chemin ils pourraient faire aux frontières de l' europe	des zones ion qui arrivent de chine parce qu' ils sont moins cher imaginez la taxe carbone l' empreinte donc je crois que l' europe c' est à l' europe de saisir sable pour nous aider le chemin il pourrait faire aux frontières de l' europe	_
4874	DINTFS NFS PREP NMS ADJMS PREP DET NMP VPPMP PREP DET NMS	une forme de protectionnisme européen sur les produits venus de l' extérieur	<eps> <eps> de protectionnisme européen sur les produits laitiers <eps> <eps> <eps>	_
4875	DETMS NMS PREP DET NFS ADJFS PPER1S VERB COSUB PDEMMS AUX DINTFS NFS PREL DET PROPN VERB VERB VERB ADV ADJFS NFS PREP PDEMMS NMS	au nom de l' empreinte carbone je crois que c' est une prise que l' europe peut peut évoquer aujourd'hui dernière chose sur ce sujet	non <eps> <eps> l' empreinte carbone je crois que c' est une puisque <eps> l' europe est évoquée aujourd' hui dernière chose sur ce sujet	_
4876	DETFS NFS PREP DET PROPN PREF AUX VPPFS PREP NFS ADJFS ADJFS	la compétitivité de l' allemagne s' est faite de façon intra européenne	la compétitivité de l' allemagne s' est fait de façon intra européenne	_
4877	PREP DET NMP PREP PROPN AUX PREP NMS DET NMP PREP DET NMS ADJMS VERB PREP VERB COSUB ADV AUX ADV PREP DET NMS COSUB DET PROPN	pour les pays de l' est au profit des pays de l' ouest c' est à dire que c' est pas sur son territoire que l' allemagne	<eps> les pays de l' est au profit des pays de l' ouest c' est-à-dire <eps> <eps> que c' est pas sur son territoire que l' allemagne	_
4878	AUX VPPMS PREP NFS PDEMMS AUX PREP DET NMP PREP DET NMS PREP ADJ NMP	a gagné en compétitivité c' est sur les pays de l' est à bas coûts	à gagner en compétitivité c' est sur les pays de l' est à bas coût	_
4879	ADJ NMP <eps> ADV PPER3FS AUX VPPFS VERB DETFS NFS	bas coûts <eps> où elle est allée chercher la croissance	de la bakou où elle est allée chercher la croissance	_
4880	ADJFS PPER3FS AUX VPPFS VERB PREP DETFS NFS ADJFS PREP NMS PREP VERB VERB PREP DETFS NFS ADJFS PREP DET PROPN	extérieure elle est allée chercher de la croissance concurrentielle au lieu d' aller chercher de la croissance interne à l' europe	extérieur elle est allée chercher de la croissance concurrentiel au lieu de les chercher de la croissance interne alors <eps> <eps>	_
4881	PROPN DETMS NMS PREP NMS PREP PRON PREL VERB VERB PINDMS PREFP PPOBJMS VERB DET NFP PREP DETFS NFS PREP DET NFS ADV DINTFS NFS ADJFS DET NFP ADJFP	bruno le maire d' abord sur ce qui pourrait émerger on nous le promet des mesures à la fin de l' année (n) une baisse massive des charges patronales	<eps> le maire d' abord sur ce qui pourrait émerger on nous le promet des mesures à la fin de l' année un une baisse massive des charges patronales	_
4882	ADV PREP NMS DET NMS PREP NFS PREFS VERB DETMS ADJMS NMS VERB PREP VERB COSUB PPER3MS VERB AUX PREP CHIF PREP CHIF NMP PREP NMP PREP COSUB PRON AUX ADV ADJMS	tout d' abord l' ordre de grandeur me paraît le bon c' est à dire qu' il faut être entre trente à cinquante milliards d' euros pour que ce soit vraiment significatif	<eps> <eps> abord l' ordre de grandeur me paraît le bon c' est à dire qu' il faut être entre trente à cinquante milliards d' euros pour que ce soit vraiment significatif	_
4883	PREP NMS PINDMS ADV AUX ADV PREP DETMS NMS PREP NFS COCO DET NMS ADJMS ADJMS AUX	en dessous on n' est plus dans le choc de compétitivité or l' objectif stratégique c' est	en dessous on <eps> est plus dans le choc de compétitivité hors l' objectif stratégique c' est	_
4884	VERB DETFS NFS PREP VERB DETFS NFS COCO DET NMP ADJMP ADJMP COCO ADJMP PREP PROPN PDEMMS AUX DINTFS NFS ADJFS ADV COSUB DETMS NMS AUX PREP NMS PREP PREF VERB PREP DET NMS ADJMS	restaurer la compétitivité pour maintenir la production et les emplois productifs agricoles ou industriels en france c' est une priorité absolue parce que le pays est en train de se vider de son sang productif	restaurer la compétitivité pour maintenir la production et des emplois productifs agricoles ou industriels en france c' est une priorité absolue parce que le pays est en train de se vider de son sang productif	_
4885	DETMS ADJMS NMS VERB PPOBJMS VERB VERB ADV ADV DETFS NFS PREP DETFS NFS PINDMS ADV VERB ADV VERB PDEMFS NFS ADV	le premier outil pardonnez moi d' insister là dessus la réduction de la dépense on ne peut pas sauter cette étape là	<eps> <eps> <eps> pardonnez moi d' insister là dessus la réduction de la dépense on ne peut pas sauter cette étape la	_
